

Software Version	3.09.07



Experiment File Path:	C:\Users\Public\Documents\Experiments\Kevin\KC_Experiment Iteration 3 4.5hours.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KC - GFP  RFP BFP.prt



Plate Number	Plate 2
Date	11/12/2024
Time	2:21:43 PM
Reader Type:	Synergy H1
Reader Serial Number:	20012722
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:04:00, 181 Reads
    Shake	Double Orbital: Continuous
	Frequency: 237 cpm (4 mm)
    Read	mcherry
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 580,  Emission: 610
	    Optics: Bottom,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
    Read	BFP and GFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 370,  Emission: 445
	    Optics: Bottom,  Gain: 80
	Filter Set 2
	    Excitation: 485,  Emission: 510
	    Optics: Bottom,  Gain: 60
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
    Read	od600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B	SPL1	SPL7	SPL13	SPL19	SPL25	SPL31	SPL37	SPL43	SPL49	SPL55	SPL61	SPL67	Well ID
C	SPL2	SPL8	SPL14	SPL20	SPL26	SPL32	SPL38	SPL44	SPL50	SPL56	SPL62	SPL68	Well ID
D	SPL3	SPL9	SPL15	SPL21	SPL27	SPL33	SPL39	SPL45	SPL51	SPL57	SPL63	SPL69	Well ID
E	SPL4	SPL10	SPL16	SPL22	SPL28	SPL34	SPL40	SPL46	SPL52	SPL58	SPL64	SPL70	Well ID
F	SPL5	SPL11	SPL17	SPL23	SPL29	SPL35	SPL41	SPL47	SPL53	SPL59	SPL65	SPL71	Well ID
G	SPL6	SPL12	SPL18	SPL24	SPL30	SPL36	SPL42	SPL48	SPL54	SPL60	SPL66	SPL72	Well ID
H											SPL73	SPL74	Well ID

mcherry:580,610

Time	T° mcherry:580,610	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H11	H12
0:00:57	37.0	22	24	28	24	28	14	21	25	15	21	27	20	29	28	17	21	33	38	21	39	36	25	24	29	17	26	23	23	22	25	20	19	27	29	13	19	20	26	27	41	33	25	25	31	21	17	28	29	21	26	24	24	26	16	25	21	31	29	23	31	24	31	39	28	18	20	27	21	27	18	15	21	19	17
0:04:57	37.0	20	29	28	18	25	19	21	14	18	29	33	16	29	23	39	28	29	25	35	20	18	32	34	27	23	23	24	29	20	25	20	35	16	21	34	16	23	28	27	19	25	31	21	17	14	25	28	25	27	25	16	27	21	22	16	23	15	20	28	23	27	37	34	26	27	30	25	19	21	23	20	32	31	34
0:08:57	37.0	17	32	38	27	22	22	29	13	26	21	21	23	26	23	24	30	31	29	26	33	27	23	27	30	18	19	26	22	27	25	32	22	19	29	28	24	20	27	30	34	23	22	33	38	24	33	29	27	26	21	27	22	20	24	23	28	24	21	24	27	31	18	31	29	32	30	23	14	24	27	19	33	18	20
0:12:57	37.0	24	26	22	19	25	15	14	15	20	26	29	27	25	21	27	25	22	18	22	18	29	29	29	28	30	16	19	29	22	27	31	18	24	22	19	24	21	27	19	21	20	23	30	30	14	24	29	30	18	17	17	11	28	27	23	22	25	28	32	30	23	20	35	26	23	25	26	21	30	22	24	29	30	28
0:16:57	37.0	18	23	34	16	28	23	18	10	24	27	18	26	24	28	18	25	28	20	32	26	28	28	30	25	18	23	28	28	23	21	26	20	28	23	28	19	26	24	20	27	19	30	37	22	18	27	24	34	29	21	16	32	25	16	21	22	15	28	17	28	17	30	20	20	22	22	17	21	32	27	28	26	21	20
0:20:57	37.0	18	17	22	25	20	27	20	26	16	14	28	24	27	23	25	19	34	27	27	28	25	26	20	27	27	27	23	13	19	21	23	18	27	24	28	22	30	25	23	31	34	26	18	28	31	27	29	31	22	16	23	25	19	19	16	16	26	25	25	24	32	26	35	26	23	22	27	19	26	26	31	26	27	24
0:24:57	37.0	19	28	17	25	18	21	25	32	30	36	36	21	23	21	21	28	37	14	22	22	28	34	38	32	20	24	20	17	22	21	34	25	12	23	27	26	21	21	31	19	22	20	23	34	25	30	27	31	24	24	25	14	25	28	18	21	22	24	24	23	23	35	40	24	18	20	18	24	17	25	21	25	29	32
0:28:57	37.0	27	25	27	22	21	22	37	28	18	29	21	21	22	31	24	22	30	17	25	25	25	38	24	29	23	25	24	21	22	14	35	26	20	24	20	30	23	24	19	24	28	18	21	22	21	26	29	30	21	20	25	20	20	14	23	20	25	31	27	22	23	17	17	27	20	26	25	32	28	33	31	35	20	19
0:32:57	37.0	19	24	29	21	30	28	25	23	30	24	29	22	28	27	23	30	25	25	23	23	28	31	26	31	23	26	26	25	28	21	22	20	20	13	17	24	21	27	13	23	26	16	21	30	24	27	32	32	24	23	20	26	21	18	18	9	19	28	22	18	21	29	34	25	24	34	22	22	31	18	33	25	19	18
0:36:57	37.0	16	31	30	22	27	26	19	26	24	31	21	21	19	29	19	28	31	26	28	24	23	31	28	23	24	23	34	19	29	12	27	19	21	20	20	21	27	34	34	23	34	31	31	25	29	23	28	28	14	13	26	16	16	25	22	16	20	22	17	20	17	31	35	32	19	36	27	28	27	23	27	33	21	25
