

Software Version	3.10.06



Experiment File Path:	C:\Users\Public\Documents\Experiments\Kevin\KC Experiment Iteration 4 10hours.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KC - GFP  RFP BFP.prt



Plate Number	Plate 1
Date	11/19/2024
Time	12:59:56 PM
Reader Type:	Synergy H1
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:04:00, 181 Reads
    Shake	Double Orbital: Continuous
	Frequency: 237 cpm (4 mm)
    Read	mcherry
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 580,  Emission: 610
	    Optics: Bottom,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
    Read	BFP and GFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 370,  Emission: 445
	    Optics: Bottom,  Gain: 80
	Filter Set 2
	    Excitation: 485,  Emission: 510
	    Optics: Bottom,  Gain: 60
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
    Read	od600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B	SPL1	SPL7	SPL13	SPL19	SPL25	SPL31	SPL37	SPL43	SPL49	SPL55	SPL61	SPL67	Well ID
C	SPL2	SPL8	SPL14	SPL20	SPL26	SPL32	SPL38	SPL44	SPL50	SPL56	SPL62	SPL68	Well ID
D	SPL3	SPL9	SPL15	SPL21	SPL27	SPL33	SPL39	SPL45	SPL51	SPL57	SPL63	SPL69	Well ID
E	SPL4	SPL10	SPL16	SPL22	SPL28	SPL34	SPL40	SPL46	SPL52	SPL58	SPL64	SPL70	Well ID
F	SPL5	SPL11	SPL17	SPL23	SPL29	SPL35	SPL41	SPL47	SPL53	SPL59	SPL65	SPL71	Well ID
G	SPL6	SPL12	SPL18	SPL24	SPL30	SPL36	SPL42	SPL48	SPL54	SPL60	SPL66	SPL72	Well ID
H											SPL73	SPL74	Well ID

mcherry:580,610

Time	T° mcherry:580,610	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H11	H12
0:00:57	37.0	31	32	35	21	31	30	33	35	34	31	27	29	29	31	33	31	35	21	33	23	26	32	27	26	29	38	33	22	28	29	27	31	31	39	33	39	28	32	26	23	23	32	14	35	19	35	28	24	25	33	22	21	30	36	38	30	21	33	21	45	21	24	33	28	22	22	34	18	20	12	22	34	23	29
0:04:57	37.0	23	33	26	22	25	29	35	30	33	25	21	26	34	32	28	24	28	19	26	31	37	28	29	26	29	26	24	21	35	30	23	20	20	27	17	25	25	30	23	19	28	26	25	43	36	35	33	23	34	27	25	22	23	33	25	28	34	19	27	27	27	23	27	23	25	30	26	31	17	30	22	32	34	27
0:08:57	37.0	21	24	24	25	30	27	25	30	37	34	31	24	32	20	30	36	31	36	23	27	27	19	28	29	23	28	34	22	21	30	18	32	33	38	30	27	21	32	26	30	35	26	29	24	19	47	28	23	30	28	26	27	24	27	27	31	31	30	23	28	39	34	27	25	28	34	35	32	29	21	39	31	31	48
0:12:57	37.0	30	27	24	33	37	37	22	31	43	28	25	28	25	30	30	17	27	37	26	29	24	38	24	26	28	35	36	31	25	34	20	24	40	19	24	25	25	23	31	38	31	22	18	49	22	32	25	32	41	26	23	34	29	30	30	37	28	33	23	25	38	23	29	32	26	24	30	35	23	28	19	33	29	30
0:16:57	37.0	25	38	32	27	35	32	33	21	28	25	35	28	37	29	24	35	21	26	34	22	27	23	22	23	25	33	26	25	17	31	20	19	24	26	32	28	23	23	25	28	21	30	25	31	27	29	25	23	33	20	17	34	24	27	28	30	26	11	33	34	23	24	29	36	30	24	30	21	32	27	28	24	24	37
0:20:57	37.0	21	29	29	14	27	22	34	30	27	23	28	33	31	24	30	21	27	25	27	32	18	30	24	26	32	37	24	24	27	27	21	30	24	30	22	24	25	30	19	25	31	23	21	32	25	23	26	29	28	25	22	34	25	22	31	23	26	20	18	13	29	25	36	30	29	20	15	16	24	32	26	24	29	15
0:24:57	37.0	26	27	25	26	26	22	23	26	25	30	36	34	33	21	23	27	23	22	20	31	21	20	26	27	25	27	29	23	27	30	18	28	24	46	28	26	29	27	31	27	28	28	28	37	25	31	25	26	29	37	31	33	28	33	30	33	25	25	22	29	30	24	32	27	26	32	32	21	23	25	25	29	23	32
0:28:57	37.0	33	20	27	26	28	32	27	24	28	30	35	30	43	26	19	34	41	22	24	28	30	31	20	23	28	22	24	26	24	30	24	23	26	32	17	26	30	27	25	35	25	26	27	35	27	33	22	26	30	20	17	29	32	29	22	22	21	21	29	25	24	33	27	34	15	24	29	22	19	34	21	31	29	26
0:32:57	37.0	27	31	29	22	33	28	27	33	35	27	25	33	24	18	23	24	32	25	19	24	22	30	24	30	27	24	25	26	34	34	29	14	19	22	25	26	27	30	28	35	28	29	22	24	25	29	25	36	28	29	25	33	24	38	26	33	23	35	29	44	35	21	29	26	29	28	27	23	4	26	24	23	11	30
0:36:57	37.0	26	28	27	28	33	18	27	27	29	25	28	29	23	18	22	23	30	31	33	28	33	26	23	28	21	31	29	22	28	22	23	28	20	28	19	15	31	34	34	28	27	33	25	27	33	26	28	24	25	23	18	32	30	23	25	28	26	33	28	31	31	26	26	31	28	22	11	34	31	17	21	34	35	23
0:40:57	37.0	33	27	25	34	30	30	30	25	30	27	25	26	20	27	27	36	29	28	22	28	27	20	26	28	15	27	30	27	23	25	26	13	31	28	21	27	19	30	32	42	29	24	27	37	30	19	18	25	32	26	17	28	27	26	33	26	32	21	26	27	31	24	29	32	31	23	17	9	30	29	22	29	31	25
0:44:57	37.0	34	31	26	29	27	33	19	18	32	32	20	26	32	24	28	29	28	21	25	26	25	26	29	33	21	26	23	28	25	25	32	32	31	33	28	27	39	29	29	22	30	37	24	26	26	31	23	28	28	28	33	34	27	24	24	22	26	24	26	26	42	19	33	34	29	20	27	22	31	35	23	26	31	26
0:48:57	37.0	18	27	27	33	30	31	25	28	36	20	30	20	27	25	19	17	27	23	24	24	21	30	25	27	24	32	23	19	27	26	24	24	37	37	28	20	28	22	19	27	23	32	20	41	22	25	23	31	25	27	26	28	26	28	21	19	36	21	22	18	36	29	25	34	27	17	24	32	20	26	16	35	23	35
0:52:57	37.0	40	24	29	19	24	31	31	18	26	28	24	19	35	21	28	29	26	18	24	18	31	21	21	24	27	19	34	27	34	25	18	27	27	25	17	28	35	22	18	31	19	31	34	27	26	29	20	33	35	34	25	26	23	29	22	34	22	26	30	38	34	26	31	29	26	33	27	22	24	28	24	31	29	24
0:56:57	37.0	24	13	26	22	20	29	31	27	23	18	27	29	34	40	36	24	26	26	26	30	22	29	24	19	21	29	30	28	30	26	23	30	37	20	25	19	26	37	16	38	16	20	22	30	30	26	24	38	32	21	31	24	20	20	28	30	27	31	30	28	16	32	26	29	19	19	30	21	9	20	24	27	31	9
1:00:57	37.0	28	18	27	26	22	32	31	21	32	25	37	22	23	28	22	30	23	27	24	14	23	31	20	28	28	28	23	34	33	36	21	19	28	28	22	19	30	29	32	26	13	23	23	16	28	18	23	28	37	28	29	35	16	32	23	19	24	35	26	29	20	26	19	29	34	33	26	24	29	24	15	29	24	25
