

Software Version	3.16.10



Experiment File Path:	C:\Users\Public\Documents\Experiments\Kevin\KC_Experiment12_6_29_25.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KC - GFP  RFP BFP.prt



Plate Number	Plate 1
Date	6/29/2025
Time	11:07:56 PM
Reader Type:	Synergy H1
Reader Serial Number:	20012722
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:04:00, 361 Reads
    Shake	Double Orbital: Continuous
	Frequency: 237 cpm (4 mm)
    Read	mcherry
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 580,  Emission: 610
	    Optics: Bottom,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
    Read	BFP and GFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 370,  Emission: 445
	    Optics: Bottom,  Gain: 80
	Filter Set 2
	    Excitation: 485,  Emission: 510
	    Optics: Bottom,  Gain: 60
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
    Read	od600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL5	SPL9	SPL13	SPL17	SPL21	SPL25	SPL29	SPL33	SPL37	SPL41	SPL45	Well ID
B	SPL2	SPL6	SPL10	SPL14	SPL18	SPL22	SPL26	SPL30	SPL34	SPL38	SPL42	SPL46	Well ID
C	SPL3	SPL7	SPL11	SPL15	SPL19	SPL23	SPL27	SPL31	SPL35	SPL39	SPL43	SPL47	Well ID
D	SPL4	SPL8	SPL12	SPL16	SPL20	SPL24	SPL28	SPL32	SPL36	SPL40	SPL44	SPL48	Well ID
E	SPL49	SPL50	SPL51	SPL52	SPL53	SPL54	SPL55	SPL56					Well ID
F													Well ID
G													Well ID
H													Well ID

mcherry:580,610

Time	T° mcherry:580,610	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8
0:01:46	37.0	33	28	20	17	27	19	33	31	28	24	27	29	44	32	35	30	26	45	21	30	15	15	22	20	38	26	15	14	22	15	16	29	24	21	19	21	28	26	29	18	18	15	25	25	10	19	22	20	26	13	22	21	19	17	16	26
0:05:46	37.0	45	27	47	18	24	24	38	28	33	29	33	34	39	20	36	31	29	28	19	18	18	21	27	21	18	17	25	22	20	24	21	23	14	19	17	16	29	16	27	19	25	21	29	18	24	11	16	17	21	17	18	19	21	22	15	14
0:09:46	37.0	24	40	38	19	32	25	35	36	40	28	33	26	44	46	39	39	25	30	21	22	27	23	25	21	20	20	14	17	22	17	30	14	17	19	13	22	29	17	33	16	18	20	32	21	23	16	14	24	19	20	18	17	14	17	19	22
0:13:46	37.0	40	52	38	21	36	34	45	38	39	32	37	32	49	41	44	33	37	39	25	25	21	21	20	27	20	27	21	20	23	15	16	17	22	20	21	16	23	15	16	20	31	19	26	11	22	17	19	21	19	23	24	19	15	21	13	12
0:17:46	37.0	48	50	34	37	30	32	42	43	45	28	35	46	56	44	39	36	32	51	30	32	16	24	32	27	23	14	17	17	25	20	21	30	22	20	16	19	27	31	20	21	19	16	22	28	24	11	19	22	22	20	20	18	19	22	20	14
0:21:46	37.0	38	49	40	29	26	30	51	42	55	42	41	38	63	51	50	55	44	40	27	35	22	20	27	24	27	23	21	18	18	23	22	20	19	25	13	19	28	30	26	23	26	31	21	16	27	24	19	23	30	17	17	22	23	23	15	18
0:25:46	37.0	44	49	44	41	33	40	43	51	50	39	42	45	64	45	54	51	50	40	18	10	19	24	20	25	21	17	21	24	29	23	20	18	21	21	22	23	41	20	26	31	22	20	16	12	25	17	21	24	17	17	16	23	27	18	13	8
0:29:46	37.0	47	53	40	38	32	38	53	54	52	52	53	45	74	51	53	59	51	54	21	22	23	31	18	13	22	21	15	18	27	11	19	18	20	21	18	15	20	14	26	28	20	17	21	26	26	18	17	20	18	19	23	16	15	19	18	17
0:33:46	37.0	55	65	44	37	37	31	54	46	48	49	38	51	78	55	71	61	47	49	24	24	22	21	28	12	20	21	22	18	23	19	22	23	28	16	19	20	23	30	32	24	23	21	22	12	14	18	13	23	22	15	24	21	20	12	22	14
0:37:46	37.0	46	45	48	30	47	36	55	53	51	50	48	46	86	71	71	62	55	58	21	22	27	25	24	23	23	22	21	16	18	16	18	22	16	14	21	17	25	33	23	20	22	21	12	20	18	26	17	23	22	23	12	26	16	19	21	15
0:41:46	37.0	60	59	46	43	40	34	60	50	51	58	56	55	94	64	77	71	58	65	20	14	21	22	26	15	24	15	19	24	19	22	26	26	21	22	24	16	25	22	41	24	25	17	20	17	28	19	14	24	22	17	22	14	17	19	16	16
