

Software Version	3.16.10



Experiment File Path:	C:\Users\Public\Documents\Experiments\Kevin\KC_X13_Hysteresis7.4.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KC - GFP  RFP BFP.prt



Plate Number	Plate 1
Date	7/4/2025
Time	9:22:46 PM
Reader Type:	Synergy H1
Reader Serial Number:	20012722
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:04:00, 361 Reads
    Shake	Double Orbital: Continuous
	Frequency: 237 cpm (4 mm)
    Read	mcherry
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 580,  Emission: 610
	    Optics: Bottom,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
    Read	BFP and GFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 370,  Emission: 445
	    Optics: Bottom,  Gain: 80
	Filter Set 2
	    Excitation: 485,  Emission: 510
	    Optics: Bottom,  Gain: 60
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
    Read	od600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL10	SPL9	SPL11	SPL12	Well ID
B	SPL1	SPL7	SPL13	SPL19	SPL25	SPL31	SPL37	SPL43	SPL49	SPL55	SPL61	SPL67	Well ID
C	SPL2	SPL8	SPL14	SPL20	SPL26	SPL32	SPL38	SPL44	SPL50	SPL56	SPL62	SPL68	Well ID
D	SPL3	SPL9	SPL15	SPL21	SPL27	SPL33	SPL39	SPL45	SPL51	SPL57	SPL63	SPL69	Well ID
E	SPL4	SPL10	SPL16	SPL22	SPL28	SPL34	SPL40	SPL46	SPL52	SPL58	SPL64	SPL70	Well ID
F	SPL5	SPL11	SPL17	SPL23	SPL29	SPL35	SPL41	SPL47	SPL53	SPL59	SPL65	SPL71	Well ID
G	SPL6	SPL12	SPL18	SPL24	SPL30	SPL36	SPL42	SPL48	SPL54	SPL60	SPL66	SPL72	Well ID
H	SPL13	SPL14	SPL15	SPL16	SPL17	SPL18					SPL19	SPL20	Well ID

mcherry:580,610

Time	T° mcherry:580,610	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H11	H12
0:00:57	36.9	8	0	0	13	7	8	8	4	11	10	1	12	13	24	18	13	2	10	9	7	12	9	9	10	20	6	11	5	24	13	9	22	12	22	9	22	15	16	16	18	2	17	7	32	18	11	13	13	20	9	14	19	17	20	9	4	9	14	10	10	25	12	7	8	19	2	18	6	13	18	11	9	10	13	14	11	0	3	4	0	0	0	2	3								
0:04:57	37.0	7	22	14	12	21	18	16	10	10	19	23	15	15	15	17	12	8	15	21	34	12	15	26	14	19	16	16	7	19	11	8	21	17	13	14	15	19	16	12	8	13	20	18	14	16	12	16	25	17	10	17	25	12	14	16	15	13	13	27	18	11	11	12	7	15	16	19	11	20	20	15	14	19	19	8	7	0	3	2	0	1	2	9	7								
0:08:57	37.0	21	15	17	12	19	18	16	17	16	21	24	20	19	20	12	14	18	13	14	22	25	16	18	19	19	20	13	5	10	16	12	15	16	16	23	12	19	9	14	14	15	11	18	7	14	17	13	18	20	3	19	14	11	18	22	13	12	17	18	19	21	14	19	11	20	9	11	11	9	25	22	17	19	14	11	2	6	13	10	12	4	2	5	0								
0:12:57	37.0	17	23	5	22	18	16	17	25	27	19	12	15	17	15	13	8	17	16	18	6	10	19	14	19	19	14	12	16	11	20	18	12	12	16	18	20	18	12	17	9	9	23	18	8	13	21	12	19	10	9	29	16	14	19	19	16	24	20	13	21	20	13	13	12	10	13	13	17	26	18	17	19	19	11	4	8	3	15	4	2	11	13	11	9								
0:16:57	37.0	26	11	4	22	12	14	17	16	13	16	14	27	13	21	15	10	26	19	13	21	19	16	20	16	13	12	14	17	17	20	14	17	10	19	18	19	25	20	21	22	13	14	12	11	25	18	15	15	18	16	18	10	14	16	19	9	14	9	16	16	22	8	15	8	14	16	17	11	20	23	15	19	12	16	3	7	11	16	9	4	3	4	0	8								
0:20:57	37.0	15	22	17	22	18	21	20	20	20	26	25	29	13	17	15	20	20	7	18	26	13	25	17	16	23	8	10	11	23	30	14	21	14	16	22	16	19	12	16	21	17	22	10	11	22	24	12	21	15	19	17	7	13	13	25	16	23	21	12	15	16	16	20	33	14	13	21	17	19	16	18	16	11	16	3	7	2	16	2	6	7	3	10	10								
0:24:57	37.0	23	13	19	12	16	17	17	16	14	14	23	19	14	13	19	19	12	11	11	20	18	19	20	25	21	22	12	17	20	22	19	15	9	12	22	10	17	17	21	19	17	13	17	18	19	20	14	26	12	19	17	15	19	22	28	18	16	16	19	23	3	13	16	19	21	18	14	11	22	18	20	24	20	17	7	3	8	14	13	0	0	9	4	8								
0:28:57	36.9	16	24	22	16	12	25	13	20	16	18	23	19	15	23	26	16	15	8	20	14	19	18	22	22	19	20	19	14	17	13	23	15	4	20	18	20	23	7	25	10	13	24	23	14	29	16	19	24	20	16	13	11	12	10	17	25	19	17	16	19	11	12	14	15	24	12	11	16	15	19	16	21	20	13	0	0	0	15	8	7	2	3	10	6								
0:32:57	37.0	27	17	24	11	25	21	20	22	24	27	24	25	17	21	20	17	20	26	22	18	21	16	21	24	19	21	20	14	21	22	18	24	18	20	14	18	25	22	21	13	11	5	21	21	21	25	18	19	23	8	21	8	20	12	15	18	12	15	15	17	16	27	15	17	14	15	14	22	14	16	20	17	14	17	4	3	0	6	8	6	1	6	2	2								
0:36:57	37.0	28	31	22	28	25	26	21	22	22	17	24	25	17	22	23	27	21	33	22	28	16	21	20	22	15	17	23	21	16	11	25	16	15	15	11	22	22	13	28	25	21	28	24	21	24	18	20	18	19	18	16	11	15	18	17	14	15	2	18	18	9	12	20	16	13	20	17	23	17	18	17	17	18	12	0	4	0	7	5	4	2	2	2	4								
